median velocity,median direction,direction dispersion,is wave,#contours,mass center,is steady
5.959,274.457,0.333,False,100,"(55.29, 27.71)",False
4.509,270.23,0.476,False,106,"(56.92, 29.61)",False
8.112,272.297,0.548,False,92,"(60.17, 29.24)",False
8.466,275.158,0.58,False,80,"(54.86, 28.24)",False
7.164,280.749,0.459,False,84,"(51.66, 30.36)",False
7.905,281.47,0.189,False,87,"(51.96, 30.58)",False
6.547,284.149,0.209,False,97,"(54.84, 33.01)",False
7.606,292.8,0.247,False,111,"(55.83, 32.56)",False
6.84,275.76,0.164,False,127,"(56.8, 31.7)",False
6.807,269.984,0.222,False,116,"(57.53, 28.48)",False
6.175,270.051,0.177,False,119,"(57.27, 29.46)",False
5.776,270.579,0.066,False,123,"(58.92, 30.64)",False
4.902,269.871,0.292,False,126,"(57.28, 32.29)",False
6.942,272.225,0.246,False,127,"(59.34, 32.01)",False
5.011,275.701,0.309,False,126,"(57.96, 31.39)",False
4.657,271.648,0.178,False,133,"(56.75, 33.6)",False
4.749,279.648,0.563,False,132,"(55.65, 32.57)",False
5.154,276.801,0.217,False,130,"(56.7, 32.85)",True
5.876,292.407,0.204,False,130,"(56.82, 33.03)",False
5.746,287.906,0.164,False,126,"(56.12, 34.12)",True
5.798,294.703,0.334,False,138,"(57.56, 37.16)",True
7.111,289.35,0.143,False,122,"(57.61, 35.17)",True
6.662,294.824,0.168,False,146,"(59.75, 37.75)",False
7.204,291.177,0.06,False,130,"(60.34, 35.56)",True
7.269,295.162,0.207,False,155,"(62.08, 38.39)",False
5.956,290.251,0.259,False,145,"(61.14, 36.89)",False
6.76,286.627,0.233,False,159,"(61.63, 38.82)",False
5.906,292.942,0.143,False,158,"(61.82, 38.94)",False
6.457,290.334,0.234,False,144,"(62.1, 37.95)",True
6.386,290.004,0.061,False,153,"(62.11, 38.78)",True
13.446,277.912,0.87,False,155,"(61.52, 42.18)",False
14.872,288.438,0.534,False,54,"(65.41, 33.23)",False
9.942,258.886,0.122,False,51,"(64.99, 34.26)",False
9.551,258.785,0.269,False,54,"(70.05, 31.37)",False
9.72,257.109,0.083,False,56,"(67.17, 31.95)",False
7.685,251.91,0.577,False,53,"(70.83, 32.53)",False
9.163,261.04,0.086,False,48,"(64.74, 29.1)",False
11.754,251.243,0.66,False,50,"(63.94, 32.61)",False
8.702,254.034,0.54,False,40,"(64.68, 32.11)",False
11.563,253.418,0.337,False,40,"(67.2, 31.39)",False
5.051,256.607,0.429,False,46,"(68.49, 32.46)",False
7.189,260.101,0.334,False,45,"(62.83, 31.68)",False
4.54,227.928,0.201,False,42,"(59.34, 32.29)",False
9.226,246.033,0.381,False,40,"(66.9, 31.79)",False
9.829,250.25,0.599,False,42,"(58.39, 30.47)",False
8.85,237.717,0.075,False,46,"(64.62, 32.05)",False
9.259,252.044,0.524,False,44,"(63.53, 31.32)",False
6.881,248.416,0.159,False,44,"(62.68, 32.38)",False
10.516,244.855,0.154,False,40,"(63.97, 33.42)",False
4.106,231.642,0.127,False,48,"(60.91, 36.73)",False
11.639,253.379,0.207,False,35,"(61.4, 37.01)",False
9.436,240.357,0.168,False,35,"(59.0, 35.51)",False
8.937,242.183,0.512,False,36,"(58.56, 36.06)",False
6.353,251.003,0.646,False,35,"(59.86, 26.76)",False
13.371,243.737,0.822,False,41,"(58.76, 32.65)",False
8.015,252.572,0.861,False,43,"(56.98, 33.28)",False
10.203,234.647,0.48,False,46,"(59.57, 31.89)",False
8.175,220.712,0.506,False,42,"(58.71, 35.09)",False
6.062,284.749,0.671,False,51,"(54.33, 35.43)",False
8.063,231.559,0.742,False,57,"(57.19, 32.11)",True
9.008,243.171,0.79,True,43,"(51.08, 31.74)",True
7.544,238.443,0.323,True,44,"(52.0, 29.85)",True
8.103,237.67,0.381,True,44,"(51.5, 29.95)",True
10.388,241.766,0.15,True,57,"(61.04, 30.01)",True
10.289,247.068,0.702,True,52,"(63.02, 30.47)",True
10.022,252.128,0.236,False,52,"(55.36, 32.63)",True
8.305,237.935,0.63,False,63,"(58.42, 31.82)",True
9.086,239.123,0.505,False,54,"(58.99, 38.37)",True
10.425,233.386,0.088,False,50,"(60.48, 33.51)",True
7.787,246.439,0.071,False,48,"(65.36, 32.15)",True
9.498,248.906,0.082,False,51,"(61.98, 35.63)",True
6.898,251.459,0.262,False,54,"(60.74, 37.86)",True
8.82,249.586,0.139,False,49,"(58.26, 31.33)",True
8.551,251.125,0.046,False,58,"(56.99, 36.92)",True
8.58,254.938,0.083,False,56,"(54.27, 36.8)",True
8.477,256.356,0.049,False,54,"(54.95, 29.48)",True
5.882,255.964,0.336,False,52,"(59.75, 34.88)",True
8.68,260.292,0.164,False,60,"(57.16, 33.72)",True
5.9,261.801,0.596,False,60,"(56.27, 31.75)",True
10.566,261.061,0.309,False,77,"(53.91, 29.65)",True
5.084,252.835,0.224,False,80,"(57.86, 35.08)",True
5.963,249.606,0.442,False,73,"(55.63, 31.76)",True
6.904,249.798,0.363,False,76,"(57.67, 34.43)",True
4.646,266.712,0.148,False,82,"(54.54, 32.91)",True
5.853,260.949,0.66,False,75,"(56.78, 29.78)",True
5.393,262.618,0.324,False,77,"(52.19, 28.46)",True
6.049,258.473,0.367,False,74,"(53.62, 31.92)",True
6.405,268.297,0.53,False,77,"(53.89, 35.51)",True
6.512,297.114,0.451,False,66,"(55.08, 35.29)",True
7.036,277.173,0.197,False,69,"(54.32, 32.92)",True
6.354,286.768,0.238,False,83,"(54.36, 37.88)",True
6.175,278.515,0.638,False,69,"(54.82, 35.13)",True
5.548,270.458,0.601,False,75,"(57.89, 34.24)",True
6.851,287.392,0.266,False,70,"(57.58, 30.69)",True
6.071,287.955,0.333,False,70,"(58.13, 29.98)",True
7.471,297.869,0.131,False,88,"(60.58, 32.8)",True
6.989,284.544,0.267,False,83,"(61.74, 32.18)",True
7.251,288.101,0.156,False,97,"(60.44, 33.37)",True
7.2,288.107,0.221,False,96,"(62.85, 37.55)",True
7.556,299.653,0.281,False,92,"(61.66, 37.94)",True
6.776,298.159,0.093,False,87,"(61.0, 35.4)",True
8.05,298.221,0.325,False,110,"(59.58, 34.08)",False
7.849,292.396,0.342,False,89,"(63.47, 30.56)",True
7.865,285.409,0.319,False,95,"(67.51, 30.48)",True
7.495,290.603,0.174,False,88,"(67.83, 28.99)",True
7.419,278.326,0.27,False,97,"(65.16, 31.18)",True
8.212,288.932,0.332,False,101,"(64.48, 30.01)",True
6.851,302.214,0.252,False,104,"(64.24, 33.43)",True
8.498,296.102,0.31,False,108,"(63.15, 29.12)",True
4.246,295.384,0.092,False,103,"(64.78, 27.58)",True
6.282,307.86,0.1,False,88,"(61.83, 30.21)",True
6.338,312.766,0.541,False,88,"(66.37, 30.18)",True
7.757,299.936,0.107,False,92,"(68.91, 28.44)",True
6.726,277.635,0.351,False,85,"(69.9, 29.06)",True
6.214,288.876,0.157,False,91,"(65.25, 29.01)",True
6.687,288.118,0.127,False,92,"(62.59, 30.56)",True
5.838,276.339,0.068,False,80,"(63.34, 30.05)",True
6.394,283.572,0.357,False,94,"(67.89, 30.43)",True
5.316,276.152,0.081,False,102,"(67.29, 33.07)",True
6.065,280.861,0.128,False,97,"(69.32, 33.72)",True
8.107,272.299,0.152,False,93,"(68.61, 32.8)",True
6.177,262.177,0.286,False,83,"(70.52, 32.17)",True
7.397,284.649,0.185,False,75,"(69.64, 31.56)",True
4.421,263.711,0.344,False,83,"(62.75, 33.53)",True
7.242,263.794,0.638,False,83,"(58.34, 34.0)",True
5.287,282.412,0.63,False,84,"(56.67, 33.8)",True
8.392,289.967,0.254,False,98,"(56.74, 37.48)",True
6.403,287.184,0.213,False,144,"(54.71, 37.58)",False
9.433,294.373,0.212,False,116,"(52.47, 33.03)",True
10.024,280.653,0.407,False,126,"(50.61, 32.37)",False
7.633,296.594,0.134,False,104,"(50.75, 34.98)",True
8.478,292.455,0.244,False,93,"(48.77, 32.76)",True
6.181,300.648,0.16,False,104,"(51.67, 31.17)",True
7.619,303.243,0.193,False,103,"(48.5, 32.26)",True
10.459,305.802,0.127,False,101,"(54.09, 29.28)",True
9.879,305.917,0.099,False,107,"(48.83, 29.08)",True
10.996,307.707,0.079,False,115,"(47.82, 30.14)",True
9.863,308.595,0.241,False,97,"(49.51, 32.64)",True
9.583,308.666,0.075,False,111,"(50.51, 32.43)",True
9.03,305.388,0.175,False,109,"(51.06, 30.16)",True
9.66,303.038,0.169,False,109,"(51.97, 30.56)",True
10.739,305.495,0.295,False,113,"(52.95, 29.3)",True
15.531,309.024,0.231,False,101,"(54.41, 28.06)",True
11.589,310.545,0.298,False,119,"(54.95, 30.57)",True
10.135,314.441,0.062,False,121,"(52.47, 31.05)",True
12.659,309.884,0.085,False,115,"(50.79, 29.6)",True
13.915,306.882,0.213,False,123,"(49.63, 33.63)",True
10.84,304.648,0.276,False,120,"(49.12, 31.85)",True
11.028,297.813,0.19,False,125,"(47.44, 31.33)",True
12.907,303.879,0.083,False,130,"(48.21, 33.99)",True
10.325,302.297,0.039,False,147,"(49.0, 35.08)",False
9.938,299.22,0.129,False,133,"(54.27, 34.63)",True
12.535,298.769,0.162,False,132,"(50.59, 36.08)",False
10.83,294.687,0.18,False,108,"(50.96, 36.68)",False
11.447,305.15,0.229,False,99,"(54.33, 34.51)",True
9.088,308.722,0.173,False,109,"(55.27, 34.28)",False
12.391,305.573,0.029,False,102,"(54.53, 35.24)",True
12.993,305.23,0.092,False,123,"(52.04, 34.32)",True
12.868,303.66,0.085,False,124,"(50.88, 35.59)",True
13.28,307.611,0.12,False,140,"(53.26, 37.26)",True
12.648,306.282,0.404,False,106,"(50.83, 37.98)",True
14.444,300.003,0.175,False,126,"(49.25, 37.54)",True
14.903,299.742,0.104,False,107,"(48.19, 36.9)",True
20.223,299.38,0.287,False,101,"(50.94, 36.27)",True
16.647,303.183,0.121,False,95,"(53.26, 38.19)",True
17.116,298.051,0.028,False,114,"(54.82, 37.67)",True
13.973,300.141,0.159,False,116,"(53.11, 39.33)",True
14.547,299.405,0.216,False,103,"(54.21, 36.22)",True
12.396,300.762,0.34,False,98,"(53.26, 36.09)",True
14.209,303.084,0.049,False,103,"(53.57, 35.44)",True
17.693,299.163,0.124,False,97,"(50.51, 32.47)",True
16.738,298.943,0.13,False,100,"(48.9, 31.8)",True
14.827,301.132,0.286,False,105,"(50.31, 31.63)",True
16.686,303.432,0.146,False,106,"(52.93, 32.76)",True
14.835,299.166,0.199,False,116,"(54.62, 34.52)",True
18.922,301.045,0.05,False,108,"(55.48, 37.59)",True
15.919,304.374,0.018,False,111,"(53.77, 34.67)",True
18.455,301.519,0.01,False,140,"(50.75, 36.58)",True
18.619,303.662,0.015,False,125,"(52.6, 35.2)",False
20.48,303.369,0.019,False,134,"(49.14, 35.44)",True
18.902,300.764,0.133,False,128,"(48.54, 34.72)",True
19.22,303.209,0.053,False,129,"(55.07, 36.46)",True
17.869,300.903,0.243,False,120,"(55.02, 35.58)",True
16.377,301.297,0.048,False,120,"(55.51, 36.67)",True
11.192,286.216,0.432,False,116,"(55.36, 32.72)",True
14.458,302.247,0.08,False,135,"(52.03, 32.33)",True
17.509,305.703,0.085,False,123,"(53.98, 35.44)",True
17.22,299.842,0.371,False,124,"(51.56, 38.32)",True
18.357,297.285,0.358,False,153,"(51.7, 36.63)",False
18.247,294.518,0.03,False,125,"(53.32, 38.3)",True
15.704,298.193,0.422,False,147,"(55.08, 36.77)",False
18.199,297.086,0.096,False,147,"(51.68, 36.63)",True
17.622,300.209,0.043,False,154,"(51.06, 38.49)",False
17.302,302.658,0.231,False,139,"(51.71, 36.31)",True
17.798,302.265,0.256,False,144,"(53.67, 39.05)",True
16.333,297.445,0.124,False,133,"(52.38, 39.18)",True
12.587,300.762,0.058,False,130,"(51.26, 37.6)",True
16.928,296.152,0.335,False,142,"(50.57, 39.42)",True
20.372,295.916,0.501,False,136,"(50.08, 37.41)",False
15.238,298.807,0.256,False,149,"(53.06, 39.38)",True
16.23,296.516,0.099,False,127,"(55.22, 39.97)",True
15.382,291.147,0.553,False,154,"(52.49, 37.02)",True
14.13,286.222,0.282,False,148,"(52.44, 35.93)",True
22.927,289.464,0.04,False,175,"(53.28, 37.2)",False
15.42,295.084,0.197,False,205,"(53.75, 36.69)",False
17.357,292.901,0.118,False,196,"(52.01, 36.64)",False
16.473,290.39,0.107,False,191,"(54.03, 35.75)",False
16.997,290.71,0.286,False,165,"(49.55, 35.9)",True
12.137,287.375,0.249,False,138,"(49.72, 32.15)",True
12.378,294.04,0.075,False,151,"(51.01, 36.33)",True
16.052,294.077,0.139,False,148,"(48.84, 37.06)",True
16.562,287.908,0.121,False,157,"(50.1, 37.04)",True
13.733,288.937,0.212,False,162,"(49.26, 41.35)",False
14.219,289.317,0.328,False,178,"(51.49, 40.89)",True
18.839,287.152,0.03,False,176,"(52.33, 37.35)",False
13.025,298.344,0.333,False,159,"(54.03, 35.41)",False
10.729,293.646,0.216,False,169,"(53.48, 37.39)",True
13.841,298.415,0.101,False,179,"(53.56, 36.65)",False
14.073,301.152,0.053,False,190,"(51.98, 38.05)",False
14.578,303.081,0.083,False,171,"(51.77, 39.32)",True
18.344,297.781,0.054,False,156,"(54.56, 37.43)",True
13.965,292.14,0.136,False,150,"(53.15, 34.2)",True
13.029,292.428,0.17,False,156,"(55.56, 34.13)",True
16.159,291.612,0.15,False,214,"(50.57, 34.6)",False
14.541,294.853,0.232,False,175,"(49.6, 33.35)",False
12.738,310.663,0.184,False,177,"(51.71, 35.96)",True
12.95,302.553,0.27,False,177,"(52.33, 35.65)",False
15.258,304.764,0.182,False,192,"(55.33, 35.88)",True
12.882,301.234,0.039,False,165,"(53.12, 32.33)",False
10.462,305.157,0.233,False,200,"(53.45, 32.87)",True
14.202,306.813,0.419,False,164,"(55.61, 37.03)",True
17.617,309.415,0.032,False,197,"(55.82, 36.87)",True
15.36,310.017,0.155,False,184,"(57.85, 36.7)",False
18.931,307.031,0.197,False,189,"(53.68, 34.11)",True
17.619,310.487,0.397,False,185,"(54.21, 35.68)",True
13.24,309.124,0.127,False,188,"(55.01, 39.37)",True
13.484,311.514,0.085,False,190,"(55.58, 36.64)",False
14.963,312.867,0.287,False,190,"(57.75, 36.48)",True
14.133,308.918,0.072,False,187,"(59.29, 38.05)",True
12.876,301.482,0.17,False,168,"(58.23, 34.6)",True
14.92,312.007,0.135,False,166,"(56.74, 31.71)",True
16.25,312.105,0.184,False,191,"(54.62, 32.06)",True
13.889,317.614,0.077,False,184,"(59.39, 29.62)",True
12.622,313.828,0.086,False,206,"(54.22, 33.26)",True
15.887,312.616,0.19,False,212,"(57.4, 35.34)",False
15.525,307.086,0.15,False,204,"(59.08, 33.88)",True
15.212,317.57,0.315,False,203,"(58.69, 34.87)",True
14.551,316.398,0.202,False,187,"(58.08, 35.43)",True
16.015,309.763,0.099,False,184,"(58.55, 37.08)",True
12.723,316.844,0.076,False,207,"(58.52, 35.12)",False
16.032,314.502,0.257,False,199,"(59.04, 32.04)",False
13.365,313.908,0.502,False,186,"(58.26, 33.16)",True
13.886,315.488,0.112,False,191,"(56.67, 33.01)",True
14.762,325.039,0.471,False,187,"(57.37, 32.08)",True
14.008,322.417,0.154,False,214,"(56.67, 32.89)",True
15.197,322.828,0.257,False,210,"(55.32, 35.33)",True
13.711,318.041,0.166,False,203,"(56.74, 35.43)",True
14.83,313.518,0.48,False,216,"(55.68, 35.81)",True
12.06,316.79,0.217,False,214,"(56.26, 34.69)",False
13.446,312.711,0.38,False,204,"(56.53, 33.13)",True
13.992,313.306,0.268,False,219,"(56.66, 31.37)",True
13.601,311.777,0.153,False,226,"(56.73, 31.09)",False
12.248,310.272,0.245,False,204,"(56.13, 31.76)",True
13.756,315.433,0.453,False,183,"(56.36, 32.1)",True
12.794,307.071,0.303,False,186,"(57.15, 34.27)",True
13.148,310.339,0.268,False,205,"(57.73, 32.81)",True
12.445,304.464,0.25,False,181,"(60.09, 34.16)",True
11.72,304.778,0.203,False,206,"(61.48, 32.95)",False
13.486,307.569,0.134,False,227,"(62.54, 31.79)",False
11.875,299.481,0.345,False,209,"(61.18, 31.36)",True
10.74,320.046,0.117,False,182,"(59.04, 32.34)",True
11.953,320.391,0.364,False,183,"(61.7, 32.25)",True
11.127,321.611,0.241,False,183,"(62.83, 29.45)",True
12.33,324.337,0.311,False,175,"(64.16, 32.72)",True
11.577,328.984,0.141,False,189,"(66.31, 34.88)",True
11.886,326.628,0.351,False,189,"(63.55, 35.21)",True
11.661,327.473,0.298,False,201,"(58.88, 34.61)",True
11.803,330.139,0.13,False,261,"(59.46, 35.69)",False
12.408,326.139,0.431,False,212,"(63.57, 34.23)",True
12.003,323.898,0.32,False,203,"(63.64, 33.52)",True
11.841,325.826,0.13,False,224,"(58.49, 37.28)",True
12.192,325.838,0.303,False,225,"(58.72, 37.08)",True
11.042,325.165,0.341,False,231,"(56.14, 37.93)",True
11.56,324.192,0.254,False,214,"(54.91, 38.66)",True
11.026,323.926,0.428,False,224,"(53.17, 35.71)",True
10.321,324.886,0.457,False,222,"(55.34, 33.18)",True
10.761,332.103,0.167,False,243,"(52.28, 33.88)",False
10.367,325.172,0.466,False,280,"(53.9, 34.24)",False
9.186,328.558,0.201,False,270,"(52.85, 33.79)",False
9.41,329.278,0.542,False,288,"(53.24, 35.51)",False
9.125,326.038,0.373,False,284,"(50.72, 37.31)",False
10.652,326.238,0.443,False,246,"(54.01, 33.66)",False
9.01,335.083,0.422,False,250,"(53.62, 34.57)",False
7.736,336.477,0.712,False,253,"(55.77, 33.47)",False
7.35,338.082,0.519,False,246,"(51.51, 34.53)",False
7.729,335.502,0.55,False,269,"(49.32, 36.72)",False
8.556,330.61,0.569,False,277,"(49.91, 39.8)",False
6.779,325.176,0.62,False,278,"(52.9, 37.81)",False
6.252,333.131,0.593,False,258,"(57.49, 38.85)",False
4.608,327.482,0.465,False,267,"(63.62, 38.95)",False
4.812,314.202,1.079,False,240,"(64.03, 36.13)",False
4.696,337.144,0.145,False,237,"(64.2, 35.34)",False
5.044,318.855,0.161,False,199,"(68.88, 35.23)",False
4.696,335.252,0.163,False,193,"(69.11, 35.19)",False
4.977,317.698,0.647,False,200,"(70.65, 34.66)",False
5.378,307.607,0.434,False,186,"(67.79, 30.86)",False
5.194,324.576,0.529,False,166,"(67.4, 28.21)",False
5.953,312.447,0.367,False,145,"(66.34, 28.1)",False
5.88,307.869,0.503,False,126,"(63.6, 26.21)",False
3.044,292.021,0.657,False,141,"(66.13, 24.46)",False
4.904,296.238,0.435,False,107,"(63.98, 23.77)",False
6.013,271.048,0.334,False,129,"(67.6, 24.7)",False
5.657,303.608,0.288,False,114,"(66.91, 23.94)",False
8.13,304.583,0.361,False,127,"(67.13, 23.7)",False
3.128,292.334,0.512,False,137,"(59.21, 24.27)",False
9.99,303.189,0.527,False,151,"(57.41, 28.54)",False
12.512,302.575,0.646,False,189,"(53.81, 30.72)",False
17.509,299.941,0.231,False,185,"(52.15, 30.33)",False
14.101,313.248,0.594,False,199,"(52.38, 26.51)",False
18.585,323.165,0.253,False,272,"(55.87, 27.23)",False
14.91,311.308,0.352,False,241,"(56.39, 27.44)",False
14.766,308.684,0.804,False,195,"(60.83, 28.03)",False
11.121,321.829,0.438,False,189,"(59.42, 28.2)",False
13.891,309.999,0.542,False,213,"(64.55, 29.34)",False
19.644,315.017,0.387,False,171,"(64.72, 27.38)",False
18.478,303.585,0.542,False,166,"(69.6, 27.44)",False
8.528,312.952,0.535,False,146,"(68.19, 29.86)",False
9.933,310.112,0.71,False,140,"(68.19, 29.85)",False
9.483,299.6,0.906,False,129,"(69.39, 33.09)",False
20.724,305.669,0.813,True,132,"(70.41, 35.58)",False
14.17,314.179,0.509,True,137,"(71.15, 35.9)",False
12.741,295.074,0.658,False,124,"(72.16, 38.07)",False
8.445,287.744,0.852,True,114,"(73.35, 38.8)",False
5.361,290.645,0.779,True,117,"(72.05, 38.62)",False
3.226,313.696,0.553,True,95,"(69.7, 38.65)",False
3.793,299.817,0.649,True,90,"(71.83, 41.56)",False
3.258,290.34,1.021,True,87,"(70.5, 41.05)",False
3.181,291.453,0.707,True,98,"(71.59, 44.72)",False
2.648,300.995,0.564,True,90,"(73.46, 42.77)",False
2.628,286.677,0.45,True,90,"(74.21, 43.25)",False
1.432,307.087,0.21,True,95,"(73.49, 48.59)",False
2.317,295.445,0.546,True,91,"(73.55, 48.34)",False
3.212,296.665,0.514,False,91,"(72.65, 49.18)",False
5.146,312.95,0.633,False,89,"(73.92, 51.61)",False
2.488,315.995,0.272,False,95,"(71.82, 47.71)",False
4.223,333.373,0.063,False,101,"(70.67, 46.49)",False
3.547,338.339,0.614,False,97,"(69.9, 45.58)",False
4.359,337.898,0.318,False,76,"(71.39, 41.24)",False
5.047,353.25,0.159,False,77,"(69.24, 41.84)",False
5.965,336.677,0.048,False,85,"(64.77, 48.07)",False
4.752,346.349,0.322,False,88,"(65.16, 47.39)",False
7.262,342.33,0.282,False,97,"(63.38, 46.74)",False
6.52,341.565,0.573,False,77,"(60.79, 44.71)",False
7.585,348.794,0.569,False,90,"(66.52, 44.68)",False
5.389,327.765,0.322,False,83,"(63.3, 45.71)",False
5.182,336.603,0.231,False,73,"(62.05, 46.57)",False
6.169,335.465,0.087,False,72,"(61.77, 42.64)",False
7.971,340.997,0.887,False,91,"(60.33, 45.58)",False
7.557,330.963,0.707,False,93,"(56.95, 46.7)",False
7.693,322.743,0.26,False,105,"(61.2, 45.84)",False
9.251,327.154,0.341,False,97,"(57.3, 44.36)",True
6.809,326.976,0.116,False,108,"(56.58, 49.19)",True
8.276,334.651,0.329,False,117,"(51.7, 48.89)",True
11.034,333.074,0.26,False,118,"(54.66, 51.27)",True
8.654,313.917,0.086,False,133,"(52.52, 48.05)",False
10.489,327.835,0.24,False,136,"(51.39, 49.18)",False
8.932,337.478,0.295,False,140,"(53.38, 49.89)",False
9.79,332.356,0.163,False,148,"(50.95, 52.6)",False
9.774,320.783,0.091,False,162,"(48.5, 52.88)",False
9.626,332.143,0.136,False,176,"(48.54, 53.14)",False
9.057,332.078,0.087,False,163,"(46.17, 49.39)",False
9.82,335.463,0.456,False,157,"(46.87, 49.25)",False
8.66,330.605,0.178,False,190,"(49.63, 48.56)",False
9.627,328.43,0.122,False,185,"(44.44, 46.82)",False
8.978,327.594,0.204,False,188,"(45.24, 45.3)",False
9.551,326.024,0.189,False,193,"(44.93, 48.16)",False
8.933,326.861,0.071,False,191,"(46.12, 47.25)",False
8.695,323.731,0.211,False,217,"(48.4, 47.44)",False
9.323,318.62,0.166,False,204,"(45.31, 47.21)",False
8.147,320.264,0.081,False,207,"(46.93, 48.58)",False
8.069,314.895,0.207,False,196,"(48.44, 46.2)",False
7.525,306.848,0.392,False,221,"(48.47, 45.37)",False
7.82,308.681,0.171,False,220,"(48.59, 45.89)",False
7.759,310.173,0.166,False,242,"(50.16, 46.74)",False
7.482,305.267,0.199,False,227,"(50.46, 47.05)",False
7.666,302.908,0.118,False,251,"(48.94, 46.98)",False
7.716,305.79,0.12,False,251,"(48.6, 45.21)",False
7.586,298.344,0.201,False,255,"(48.8, 43.94)",False
7.726,297.087,0.318,False,253,"(48.17, 42.49)",False
7.717,291.16,0.15,False,289,"(48.88, 42.44)",False
7.79,295.337,0.29,False,278,"(48.65, 41.36)",False
8.445,293.681,0.176,False,289,"(49.73, 40.28)",False
7.067,289.621,0.158,False,304,"(48.74, 39.79)",False
5.622,293.507,0.171,False,341,"(47.05, 39.03)",False
5.525,288.93,0.132,False,347,"(47.63, 37.56)",False
5.295,287.968,0.118,False,382,"(46.63, 38.1)",False
4.897,282.4,0.22,False,389,"(48.23, 38.68)",False
4.866,278.746,0.178,False,434,"(46.99, 38.38)",False
4.34,274.97,0.185,False,421,"(46.8, 38.76)",False
4.091,272.964,0.226,False,471,"(48.46, 38.43)",False
4.768,271.061,0.352,False,426,"(46.54, 38.38)",False
4.845,265.926,0.163,False,436,"(43.89, 39.98)",False
5.3,266.093,0.167,False,426,"(42.87, 41.83)",False
4.658,267.317,0.164,False,472,"(43.4, 41.79)",False
4.396,258.371,0.092,False,478,"(44.05, 42.81)",False
4.976,261.108,0.048,False,504,"(45.58, 41.49)",False
4.695,261.467,0.107,False,461,"(46.27, 42.9)",False
4.566,260.562,0.374,False,459,"(46.65, 42.09)",False
4.395,265.371,0.162,False,481,"(45.35, 41.76)",False
4.784,267.506,0.123,False,520,"(46.39, 43.25)",False
4.517,269.362,0.278,False,467,"(47.1, 42.07)",False
4.877,274.158,0.247,False,465,"(46.45, 42.38)",False
5.155,263.46,0.294,False,460,"(45.29, 41.0)",False
5.749,266.101,0.206,False,429,"(43.71, 40.23)",False
6.324,271.946,0.155,False,415,"(44.3, 40.96)",False
6.01,268.479,0.152,False,424,"(45.03, 41.42)",False
5.673,274.88,0.232,False,385,"(47.42, 40.11)",False
6.441,269.617,0.163,False,416,"(48.12, 40.59)",False
6.945,267.76,0.315,False,365,"(49.37, 38.87)",False
7.671,271.807,0.27,False,404,"(47.95, 40.18)",False
7.922,272.484,0.22,False,362,"(49.49, 38.9)",False
7.208,269.857,0.201,False,409,"(49.8, 41.21)",False
8.525,276.965,0.176,False,345,"(50.19, 41.11)",False
9.246,278.855,0.064,False,395,"(49.32, 41.31)",False
8.854,281.555,0.232,False,399,"(49.69, 40.52)",False
9.19,285.831,0.175,False,401,"(48.62, 40.36)",False
7.532,291.733,0.277,False,340,"(50.4, 40.48)",False
